tijd	koppel	stroom	spanning	kadans	snelheid
20.504	1.987	0.505	3.769	0.00	12.07
20.576	1.963	0.505	3.769	0.00	12.07
20.648	1.982	0.501	3.764	0.00	12.07
20.720	1.982	0.501	3.769	0.00	12.07
20.793	1.973	0.501	3.769	0.00	12.07
20.866	1.973	0.501	3.769	0.00	10.43
20.937	1.973	0.501	3.769	0.00	10.43
21.010	1.963	0.505	3.769	0.00	10.43
21.082	1.948	0.501	3.769	0.00	10.43
21.154	1.919	0.505	3.769	0.00	10.43
21.227	1.909	0.505	3.774	0.00	10.43
21.299	1.904	0.496	3.774	0.00	10.43
21.374	1.879	0.501	3.774	0.00	10.43
21.446	1.904	0.505	3.774	0.00	10.43
21.519	1.914	0.496	3.774	0.00	10.43
21.592	1.948	0.505	3.774	0.00	10.43
21.663	1.973	0.510	3.774	0.00	10.43
21.736	1.943	0.501	3.774	0.00	10.43
21.808	1.978	0.501	3.774	0.00	10.43
21.880	2.036	0.505	3.774	0.00	7.50
21.952	2.002	0.496	3.774	0.00	7.50
22.025	2.012	0.505	3.778	0.00	7.50
22.097	2.012	0.496	3.774	0.00	7.50
22.169	2.007	0.501	3.778	0.00	7.50
22.242	2.022	0.496	3.774	0.00	7.50
22.313	2.007	0.491	3.774	0.00	7.50
22.389	1.982	0.501	3.778	0.00	7.50
22.461	2.017	0.501	3.778	0.00	7.50
22.534	2.036	0.505	3.774	0.00	7.50
22.605	1.992	0.505	3.778	0.00	7.50
22.678	2.017	0.491	3.778	0.00	7.50
22.750	2.036	0.505	3.774	0.00	7.50
22.822	2.012	0.501	3.778	0.00	7.50
22.910	2.017	0.501	3.778	0.00	7.50
22.982	2.032	0.505	3.774	0.00	7.50
23.055	2.027	0.505	3.774	0.00	7.50
23.127	2.032	0.505	3.778	0.00	7.50
23.199	2.041	0.505	3.778	0.00	7.50
23.271	2.046	0.505	3.778	0.00	7.50
23.344	2.041	0.505	3.778	0.00	5.17
23.416	2.076	0.510	3.778	0.00	5.17
23.491	2.061	0.501	3.778	0.00	5.17
23.564	2.041	0.505	3.778	0.00	5.17
23.635	2.056	0.501	3.778	0.00	5.17
23.708	2.071	0.505	3.778	0.00	5.17
23.780	2.076	0.510	3.778	1.96	5.17
23.853	2.071	0.505	3.778	1.96	5.17
23.925	2.095	0.505	3.778	1.96	5.17
23.997	2.100	0.501	3.778	1.96	5.17
24.070	2.115	0.510	3.778	1.96	5.17
24.141	2.125	0.501	3.778	1.96	5.17
24.214	2.125	0.501	3.778	1.96	5.17
24.286	2.120	0.496	3.778	0.00	5.17
24.358	2.125	0.496	3.778	0.00	5.17
24.430	2.115	0.505	3.778	0.00	5.17
24.506	2.110	0.501	3.778	0.00	5.17
24.578	2.115	0.501	3.778	0.00	5.17
24.650	2.086	0.501	3.783	0.00	5.17
24.722	2.100	0.501	3.783	0.00	5.17
24.801	2.081	0.505	3.778	0.00	5.17
24.873	2.071	0.501	3.778	0.00	5.17
24.945	2.071	0.501	3.778	0.00	5.17
25.017	2.071	0.501	3.778	5.94	5.17
25.090	2.071	0.510	3.778	5.94	5.17
25.162	2.071	0.501	3.783	5.94	5.17
25.234	2.081	0.505	3.778	5.94	5.17
25.307	2.081	0.501	3.783	5.94	5.17
25.378	2.090	0.496	3.783	5.94	0.00
25.451	2.086	0.505	3.778	5.94	0.00
25.526	2.076	0.501	3.778	0.00	0.00
25.598	2.061	0.505	3.778	0.00	0.00
25.670	2.061	0.496	3.778	0.00	0.00
25.743	2.066	0.496	3.783	10.34	0.00
25.815	2.071	0.496	3.783	10.34	0.00
25.887	2.071	0.505	3.783	10.34	0.00
25.982	2.076	0.515	3.778	10.34	2.97
26.061	2.090	0.510	3.783	10.34	2.97
26.140	2.095	0.501	3.778	10.34	2.97
26.219	2.105	0.501	3.778	0.00	2.97
26.298	2.105	0.515	3.778	14.51	2.97
26.376	2.120	0.633	3.695	14.51	2.97
26.455	2.135	1.477	3.577	14.51	2.97
26.533	2.090	1.418	3.788	14.51	2.97
26.615	2.159	1.757	3.695	14.51	2.97
26.694	2.120	1.335	3.646	17.86	2.97
26.773	1.963	1.639	3.450	17.86	2.97
26.845	1.806	1.320	3.626	17.86	2.97
26.917	1.639	1.565	3.617	17.86	2.97
26.989	1.448	1.467	3.587	17.86	2.97
27.062	1.335	1.467	3.528	22.19	2.97
27.134	1.330	1.614	3.425	22.19	2.97
27.206	1.202	0.829	3.440	22.19	6.24
27.279	1.202	0.977	3.455	26.69	6.24
27.351	1.266	0.972	3.808	26.69	6.24
27.423	1.418	0.942	3.700	26.69	6.24
27.496	1.438	0.913	3.514	26.69	6.24
27.568	1.590	0.854	3.877	29.88	6.24
27.643	1.860	0.770	3.464	29.88	6.24
27.716	1.992	0.731	3.479	29.88	6.24
27.788	2.017	0.731	3.567	32.33	6.24
27.860	2.076	0.648	3.788	32.33	6.24
27.932	2.056	0.785	3.509	32.33	6.24
28.005	2.036	0.859	3.572	35.21	10.15
28.078	2.061	0.736	3.558	35.21	10.15
28.149	2.071	0.800	3.759	35.21	10.15
28.222	2.095	0.658	3.749	35.38	10.15
28.295	2.105	0.604	3.572	35.38	10.15
28.366	2.115	0.545	3.886	35.38	10.15
28.439	2.198	0.555	3.528	37.69	10.15
28.512	2.198	0.574	3.651	37.69	10.15
28.583	2.017	0.525	3.759	40.11	10.15
28.659	1.879	0.638	3.823	40.11	11.94
28.732	1.526	0.555	3.631	40.11	11.94
28.804	1.202	0.525	3.479	39.89	11.94
28.876	1.065	0.555	3.680	39.89	11.94
28.949	1.143	0.520	3.764	41.90	11.94
29.037	1.291	0.555	3.651	41.90	11.94
29.110	1.418	0.535	3.808	41.90	11.94
29.182	1.717	0.540	3.808	40.76	11.94
29.254	1.987	0.525	3.597	40.76	13.06
29.327	2.076	0.530	3.793	44.12	13.06
29.399	2.051	0.535	3.867	44.12	13.06
29.471	2.051	0.525	3.626	46.88	13.06
29.544	2.076	0.540	3.710	46.88	13.06
29.619	2.100	0.535	3.739	45.18	13.06
29.691	2.144	0.525	3.793	45.18	13.06
29.764	2.174	0.530	3.837	45.18	14.37
29.836	2.203	0.515	3.587	45.45	14.37
29.908	2.135	0.535	3.950	45.45	14.37
29.981	2.017	0.520	3.626	47.17	14.37
30.053	1.776	0.520	3.823	47.17	14.37
30.126	1.649	0.540	3.626	46.88	14.37
30.197	1.664	0.525	3.646	46.88	14.37
30.270	1.698	0.530	3.612	47.17	14.92
30.343	1.727	0.525	3.877	47.17	14.92
30.414	1.825	0.535	3.661	47.17	14.92
30.487	1.958	0.525	3.823	46.88	14.92
30.563	2.036	0.530	3.813	46.88	14.92
30.635	2.066	0.520	3.857	47.17	14.92
30.707	2.066	0.520	3.754	47.17	14.92
30.780	2.081	0.525	3.548	48.08	14.92
30.852	2.090	0.535	3.749	48.08	14.95
30.924	2.140	0.520	3.509	48.39	14.95
30.996	2.174	0.515	3.651	48.39	14.95
31.069	2.198	0.525	3.617	48.39	14.95
31.141	2.169	0.530	3.749	48.39	14.95
31.213	2.125	0.520	3.499	48.08	14.95
31.286	2.086	0.530	3.808	48.08	14.95
31.358	2.046	0.525	3.872	47.77	15.30
31.430	1.963	0.525	3.597	47.77	15.30
31.503	1.914	0.530	3.823	55.97	15.30
31.579	1.894	0.520	3.901	55.97	15.30
31.650	1.933	0.525	3.882	53.96	15.30
31.723	2.022	0.535	3.680	53.96	15.30
31.795	2.081	0.525	3.788	54.35	15.42
31.867	2.095	0.520	3.862	54.35	15.42
31.940	2.100	0.530	3.847	55.97	15.42
32.012	2.105	0.530	3.896	55.97	15.42
32.099	2.135	0.535	3.837	55.97	15.42
32.172	2.174	0.530	3.597	55.15	15.42
32.244	2.189	0.510	3.661	55.15	15.42
32.316	2.095	0.530	3.592	56.39	15.87
32.389	1.894	0.515	3.621	56.39	15.87
32.460	1.649	0.520	3.577	58.14	15.87
32.536	1.565	0.535	3.778	58.14	15.87
32.609	1.600	0.525	3.818	58.59	15.87
32.680	1.742	0.520	3.852	58.59	15.87
32.753	1.963	0.515	3.813	57.69	16.54
32.826	2.076	0.525	3.867	58.59	16.54
32.898	2.125	0.530	3.813	58.59	16.54
32.970	2.135	0.515	3.680	60.48	16.54
33.042	2.144	0.515	3.582	60.48	16.54
33.115	2.179	0.535	3.803	60.00	16.54
33.187	2.218	0.515	3.734	60.00	16.54
33.259	2.198	0.540	3.862	59.52	17.01
33.332	2.100	0.520	3.798	61.48	17.01
33.403	1.933	0.525	3.842	61.48	17.01
33.476	1.708	0.515	3.798	60.48	17.01
33.552	1.639	0.530	3.847	60.48	17.01
33.624	1.698	0.525	3.764	61.98	17.01
33.696	1.870	0.530	3.842	60.98	17.43
33.769	2.022	0.525	3.867	60.98	17.43
33.841	2.120	0.520	3.867	57.69	17.43
33.913	2.105	0.520	3.749	57.69	17.43
33.985	2.051	0.525	3.793	57.69	17.43
34.058	1.978	0.515	3.803	57.69	17.43
34.130	1.978	0.505	3.764	30.61	17.63
34.202	1.982	0.491	3.764	30.61	17.63
34.275	1.992	0.510	3.769	30.61	17.63
34.347	2.012	0.510	3.769	30.61	17.63
34.419	2.007	0.496	3.764	30.61	17.63
34.495	2.002	0.505	3.769	30.61	17.63
34.567	1.997	0.510	3.769	0.00	17.92
34.639	2.002	0.505	3.774	13.79	17.92
34.711	1.997	0.505	3.764	13.79	17.92
34.784	1.978	0.496	3.774	13.79	17.92
